Date,Original Description,Amount,Category,Account Name,Matched Category
2023-05-15,pos wd  netflix com            l,15.49,Television,Cash Back Student Checking,entertainment
2023-05-15,pos wd save mart #554 reno nv 49,14.97,Groceries,Cash Back Student Checking,food
2023-05-15,pos wd  vsp 800-785-0699       8,13.84,vision insurance,Cash Back Student Checking,insurance
2023-05-15,external wd americanexpress pers,24.0,Savings,Cash Back Student Checking,savings
2023-05-14,interest payment,0.39,Interest Income,High Yield Savings Acct,
2023-05-14,pos wd  spotify                8,9.99,Music,Cash Back Student Checking,entertainment
2023-05-14,pos wd  sq *prema farm         r,11.0,Groceries,Cash Back Student Checking,
2023-05-14,pos wd  sq *rin tin taps       r,14.4,Home Insurance,Cash Back Student Checking,
2023-05-14,pos wd  sq *uval care          r,16.24,Restaurants,Cash Back Student Checking,
2023-05-14,pos wd  venmo*                 v,50.05,Groceries,Cash Back Student Checking,
2023-05-14,pos wd  sp sugar love candy    1,7.0,Groceries,Cash Back Student Checking,
2023-05-14,"pos wd uber technologies, inc 40",5.23,Ride Share,Cash Back Student Checking,
2023-05-13,pos wd  chewy.com              8,56.15,Pet Food & Supplies,Cash Back Student Checking,other
2023-05-13,"pos wd uber technologies, inc 40",30.8,Ride Share,Cash Back Student Checking,
2023-05-13,pos wd smiths food # 4344 175 le,6.7,Groceries,Cash Back Student Checking,food
2023-05-13,pos wd  venmo*                 v,105.35,Groceries,Cash Back Student Checking,
2023-05-12,internet transfer from greater nevada credit union dda account xxxxx0651,24.0,Transfer,High Yield Savings Acct,savings
2023-05-12,pos wd  apple.com/bill         8,4.99,Electronics & Software,Cash Back Student Checking,entertainment
2023-05-12,external wd americanexpress pers,14.0,Savings,Cash Back Student Checking,savings
2023-05-11,internet transfer from greater nevada credit union dda account xxxxx0651,14.0,Transfer,High Yield Savings Acct,savings
2023-05-11,pos wd  nekter juice bar 8195  r,11.77,Alcohol & Bars,Cash Back Student Checking,food
2023-05-11,external wd paypal instant trans,14.99,Transfer,Cash Back Student Checking,
2023-05-11,external wd americanexpress pers,10.0,Savings,Cash Back Student Checking,savings
2023-05-11,pos wd  dd doordash indiakeba  8,29.54,Food Delivery,Cash Back Student Checking,food
2023-05-10,tracy legee 8339535902 nv,100.0,Doctor,DISCOVER IT CHROME CARD,medical-health
2023-05-10,internet transfer from greater nevada credit union dda account xxxxx0651,10.0,Transfer,High Yield Savings Acct,savings
2023-05-10,withdrawal internet transfer to,189.32,Transfer,Regular Share,savings
2023-05-10,deposit internet transfer from x,189.32,Transfer,Cash Back Student Checking,savings
2023-05-09,external wd americanexpress pers,100.0,Savings,Cash Back Student Checking,savings
2023-05-08,external wd discover dc pymnts d,307.94,Credit Card Payment,Cash Back Student Checking,debt
2023-05-08,pos wd  venmo*                 v,61.0,Groceries,Cash Back Student Checking,
2023-05-08,internet transfer from greater nevada credit union dda account xxxxx0651,100.0,Transfer,High Yield Savings Acct,savings
2023-05-07,deposit dental insurance,41.93,Transfer,Cash Back Student Checking,
2023-05-07,withdrawal internet transfer to,50.0,Transfer,Cash Back Student Checking,savings
2023-05-07,withdrawal dental insurance,41.93,Financial,Regular Share,
2023-05-07,deposit internet transfer from x,50.0,Transfer,Regular Share,savings
