1,Post Date,Check,Description,Debit,Credit,Status,Balance
1,2/15/2024,,POS WD - VSP 800-785-0699       800-785-0699 TXUS,13.84,,Posted,119.22
1,2/13/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,29.99,,Posted,133.06
1,2/13/2024,,External DP - VENMO  - CASHOUT,,12.5,Posted,163.05
1,2/9/2024,,External DP - VENMO  - CASHOUT,,6,Posted,150.55
1,2/8/2024,,POS WD - STARBUCKS 800-782-7282 800-782-7282 WAUS,10,,Posted,144.55
1,2/7/2024,,POS WD - SAVE MART #554 RENO NV 4995 KIETZKE LANE      RENO         N,11.98,,Posted,154.55
1,2/7/2024,,POS WD - VCA ANIMAL 4792 CAUGHLIN PKWY US  RENO         NVUS,108.45,,Posted,166.53
1,2/6/2024,,POS WD - WINCO FOODS #12 9750 SOReno         NVUS,218.55,,Posted,274.98
1,2/6/2024,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,57.12,,Posted,493.53
1,2/6/2024,,Deposit - Shared Branch 6100 NEIL RD STE 150    RENO          NV,,59.95,Posted,550.65
1,2/6/2024,,POS WD - VENMO  *Kenny Holcomb  Visa Direct  NYUS,25,,Posted,490.7
1,2/6/2024,,External WD - DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,175,,Posted,515.7
1,2/6/2024,,POS WD - EQT* AETNA CVS HEALTH  844-3657373  CTUS,174.86,,Posted,690.7
1,2/5/2024,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,633.33,,Posted,865.56
1,2/5/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,4.84,,Posted,1498.89
1,2/5/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,3.34,,Posted,1503.73
1,2/5/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,9.9,,Posted,1507.07
1,2/5/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,1.85,,Posted,1516.97
1,2/5/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,48.51,,Posted,1518.82
1,2/5/2024,,External DP - ASSIST-2-SELL IN WRS667 02761ASSIS001 - Payroll,,1559.1,Posted,1567.33
1,2/4/2024,,POS WD - METLIFE PET            HTTPSWWW.PETFINUS,44.36,,Posted,8.23
1,2/3/2024,,POS WD - DUTCH BROS             541-955-4700 ORUS,10,,Posted,52.59
1,2/2/2024,,External WD - GEICO  - PREM COLL,96,,Posted,62.59
1,2/1/2024,,POS WD - VENMO  *Adalyn Osentos Visa Direct  NYUS,93.88,,Posted,158.59
1,2/1/2024,,Deposit - Internet Transfer from XXXXX0643 -  via Mobile,,48.51,Posted,252.47
1,1/31/2024,,Descriptive Deposit - Cash Back Reward,,10,Posted,203.96
1,1/31/2024,,POS WD - COLD STONE CREAMERY #2 775-8138011  NVUS,6.54,,Posted,193.96
1,1/30/2024,,NOW Deposit - Zelle From IHC-Metlife Pet +1-800-421-6674,,53.66,Posted,200.5
1,1/28/2024,,POS WD - SQ *KEVA - NORTHWEST REReno         NVUS,16.76,,Posted,146.84
1,1/27/2024,,POS WD - IN-N-OUT RENO          RENO         NVUS,10.34,,Posted,163.6
1,1/25/2024,,POS WD - VZWRLSS*APOCC VISW     800-922-0204 FLUS,117.26,,Posted,173.94
1,1/25/2024,,POS WD - VENMO  *Kenny Holcomb  Visa Direct  NYUS,964.62,,Posted,291.2
1,1/25/2024,,POS WD - SAVE MART #554 RENO NV 4995 KIETZKE LANE      RENO         N,14.27,,Posted,1255.82
1,1/24/2024,,POS WD - Subway 10118           Reno         NVUS,12.65,,Posted,1270.09
1,1/23/2024,,Point Of Sale Deposit - Amazon Prime           Amzn.com/billWAUS,,12.59,Posted,1282.74
1,1/23/2024,,External WD - NV ENERGY NORTH SPPCO - SPPC PYMT,157.35,,Posted,1270.15
1,1/23/2024,,POS WD - WWW COSTCO COM         800-955-2292 WAUS,99.99,,Posted,1427.5
1,1/22/2024,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,133.33,,Posted,1527.49
1,1/22/2024,,External WD - DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,119,,Posted,1660.82
1,1/22/2024,,External WD - FARMERS INS  - EFT PYMT,17.21,,Posted,1779.82
1,1/22/2024,,External DP - VENMO  - CASHOUT,,78.68,Posted,1797.03
1,1/21/2024,,POS WD - PIZZAVA                775-5077077  NVUS,50,,Posted,1718.35
1,1/20/2024,,POS WD - Roku for WarnerMedia Gl816-2728107  DEUS,9.99,,Posted,1768.35
1,1/19/2024,,Deposit - Internet Transfer from XXXXX0643 -  via Mobile,,140,Posted,1778.34
1,1/19/2024,,External DP - ASSIST-2-SELL IN WRS667 02761ASSIS001 - Payroll,,1559.1,Posted,1638.34
1,1/18/2024,,POS WD - OLIVE GARDEN 0021085   RENO         NVUS,23,,Posted,79.24
1,1/18/2024,,POS WD - Amazon Prime*R895C6I70 Amzn.com/billWAUS,14.99,,Posted,102.24
1,1/18/2024,,POS WD - CHEESECAKE RENO        RENO         NVUS,114.72,,Posted,117.23
1,1/17/2024,,POS WD - PETCO  304             RENO         NVUS,27.92,,Posted,231.95
1,1/17/2024,,POS WD - TST* HINOKI POKE       Reno         NVUS,29.5,,Posted,259.87
1,1/17/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,11.99,,Posted,289.37
1,1/17/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,2.99,,Posted,301.36
1,1/17/2024,,POS WD - DENTAL INSURANCE AUTOPA877-2804204  CAUS,31.3,,Posted,304.35
1,1/16/2024,,ATM Fees - ISA - Intl Curr Fee 77000000,0.46,,Posted,335.65
1,1/16/2024,,POS WD - OBSIDIAN.MD            OAKVILLE     ONCA,57.6,,Posted,336.11
1,1/16/2024,,NOW Deposit - Zelle From IHC-Metlife Pet +1-800-421-6674,,257.64,Posted,393.71
1,1/16/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,64,,Posted,136.07
1,1/16/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,6.28,,Posted,200.07
1,1/15/2024,,POS WD - VSP 800-785-0699       800-785-0699 TXUS,13.84,,Posted,206.35
1,1/15/2024,,POS WD - VENMO*                 Visa Direct  NYUS,10,,Posted,220.19
1,1/14/2024,,POS WD - Spotify USA            877-7781161  NYUS,10.99,,Posted,230.19
1,1/11/2024,,POS WD - 7-ELEVEN 6150 S. Mccarran B US  Reno         NVUS,53.37,,Posted,241.18
1,1/11/2024,,NOW Deposit - Zelle From GREGORY PAYNE +1-800-421-6674,,25,Posted,294.55
1,1/11/2024,,POS WD - UBER   EATS            HELP.UBER.COMCAUS,87.63,,Posted,269.55
1,1/10/2024,,POS WD - Walmart.com 702 SW 8th St          Bentonville  ARUS,76.73,,Posted,357.18
1,1/10/2024,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,233.34,,Posted,433.91
1,1/10/2024,,External WD - HKL 877-292-0545  - PHARMACY,59.95,,Posted,667.25
1,1/9/2024,,POS WD - RAISING CANES 0432     RENO         NVUS,12.97,,Posted,727.2
1,1/9/2024,,Deposit - Internet Transfer from XXXXX0643 -  via Mobile,,627,Posted,740.17
1,1/8/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,627,,Posted,113.17
1,1/8/2024,,External WD - DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,231,,Posted,740.17
1,1/8/2024,,External WD - ADVS ED SERV WEB ACH TRANSACTION - STUDNTLOAN,150,,Posted,971.17
1,1/8/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,4.99,,Posted,1121.17
1,1/8/2024,,POS WD - UBER   *EATS 1515 3rd Street        San FranciscoCAUS,26.55,,Posted,1126.16
1,1/6/2024,,POS WD - DUTCH BROS             541-955-4700 ORUS,10,,Posted,1152.71
1,1/6/2024,,POS WD - VENMO*                 Visa Direct  NYUS,25,,Posted,1162.71
1,1/6/2024,,POS WD - PORT OF SUBS 0010 ONLINolo.com      NVUS,11.91,,Posted,1187.71
1,1/5/2024,,POS WD - ULTA #1167 4891 KIETZKE LANE      RENO         NVUS,45.98,,Posted,1199.62
1,1/5/2024,,POS WD - 7-ELEVEN 6150 S. Mccarran B US  Reno         NVUS,15.29,,Posted,1245.6
1,1/5/2024,,POS WD - BEST BUY #128 5575 SOUTH VIRGINIA    RENO         NVUS,162.38,,Posted,1260.89
1,1/5/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,140,,Posted,1423.27
1,1/4/2024,,POS WD - METLIFE PET            HTTPSWWW.PETFINUS,44.36,,Posted,1563.27
1,1/4/2024,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,39.99,,Posted,1607.63
1,1/3/2024,,Withdrawal - Shared Branch 6100 NEIL RD STE 150    RENO          NV,5,,Posted,1647.62
1,1/3/2024,,Withdrawal - Shared Branch 6100 NEIL RD STE 150    RENO          NV,59.95,,Posted,1652.62
1,1/3/2024,,External DP - GreaterNevada  - E-DEPOSIT,,25,Posted,1712.57
1,1/3/2024,,Withdrawal - Internet Transfer to XXXXX0643 - barnes and noble,3.34,,Posted,1687.57
1,1/3/2024,,Withdrawal - Internet Transfer to XXXXX0643 - ynab,9.9,,Posted,1690.91
1,1/3/2024,,Withdrawal - Internet Transfer to XXXXX0643 - godaddy,1.85,,Posted,1700.81
1,1/3/2024,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,33.41,,Posted,1702.66
1,1/3/2024,,ATM Deposit - GREATER NEVADA CU 6745 SIERRA CENTER PARKRENO         NVUS,,1554.85,Posted,1736.07
1,1/2/2024,,"External DP - FISHER,MAYA PERSONAL SAVINGS - TRANSFER",,100,Posted,181.22
1,1/2/2024,,Deposit - Internet Transfer from XXXXX0643 -  via Mobile,,33.41,Posted,81.22
1,1/2/2024,,External WD - GEICO  - PREM COLL,96,,Posted,47.81
1,12/31/2023,,Descriptive Deposit - Cash Back Reward,,10,Posted,143.81
1,12/31/2023,,POS WD - STEAMGAMES.COM 42595229425-8899642  WAUS,7.99,,Posted,133.81
1,12/29/2023,,POS WD - GREAT BASIN BREWING COMRENO         NVUS,108.91,,Posted,141.8
1,12/29/2023,,POS WD - Wal-Mart Super Center 2189 WAL-SAMS          RENO         NV,19.07,,Posted,250.71
1,12/29/2023,,POS WD - BARNES&amp;NOBLE PAPERSOURC800-843-2665 NYUS,39.99,,Posted,269.78
1,12/28/2023,,NOW Deposit - Zelle From GREGORY PAYNE +1-800-421-6674,,60,Posted,309.77
1,12/28/2023,,POS WD - TikTok Shop            Mountain ViewCAUS,30.56,,Posted,249.77
1,12/28/2023,,POS WD - GREAT BASIN BREWING COMRENO         NVUS,50,,Posted,280.33
1,12/28/2023,,POS WD - AMZN Mktp US*5K0CQ4J33 Amzn.com/billWAUS,10.79,,Posted,330.33
1,12/28/2023,,POS WD - AMZN Mktp US*HA6JW0223 Amzn.com/billWAUS,106.65,,Posted,341.12
1,12/27/2023,,POS WD - WM SUPERCENTER #2189 Wal-Mart Super Center  RENO         NVU,4.4,,Posted,447.77
1,12/27/2023,,POS WD - SAVE MART #554 RENO NV 4995 KIETZKE LANE      RENO         N,9.48,,Posted,452.17
1,12/27/2023,,POS WD - WL *Steam Purchase     425-9522985  WAUS,50,,Posted,461.65
1,12/27/2023,,POS WD - WL *Steam Purchase     425-9522985  WAUS,32.95,,Posted,511.65
1,12/26/2023,,POS WD - AMZN Mktp US*6Z3CW5B93 Amzn.com/billWAUS,14.14,,Posted,544.6
1,12/26/2023,,POS WD - VENMO*                 Visa Direct  NYUS,965.68,,Posted,558.74
1,12/25/2023,,POS WD - STEAMGAMES.COM 42595229425-8899642  WAUS,17.98,,Posted,1524.42
1,12/25/2023,,POS WD - VZWRLSS*APOCC VISW     800-922-0204 FLUS,117.24,,Posted,1542.4
1,12/23/2023,,POS WD - TST* COSTA VIDA- RENO  RENO         NVUS,40.48,,Posted,1659.64
1,12/22/2023,,POS WD - LOWE'S #32 5075 KIETZKE LANE  US  RENO         NVUS,8.64,,Posted,1700.12
1,12/22/2023,,"POS WD - ELLEN B. MCBRIDE, A PRORENO         NVUS",100,,Posted,1708.76
1,12/22/2023,,External WD - NV ENERGY NORTH SPPCO - SPPC PYMT,133.52,,Posted,1808.76
1,12/21/2023,,ATM Deposit - GREATER NEVADA CU 6745 SIERRA CENTER PKWYRENO         NVUS,,100,Posted,1942.28
1,12/21/2023,,External DP - GreaterNevada  - E-DEPOSIT,,50,Posted,1842.28
1,12/21/2023,,POS WD - APPLE.COM/BILL         866-712-7753 CAUS,11.99,,Posted,1792.28
1,12/21/2023,,POS WD - CHEWY.COM              800-672-4399 FLUS,7.4,,Posted,1804.27
1,12/21/2023,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,133.34,,Posted,1811.67
1,12/20/2023,,POS WD - CHEWY.COM              800-672-4399 FLUS,113.32,,Posted,1945.01
1,12/20/2023,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,83.69,,Posted,2058.33
1,12/20/2023,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,11.89,,Posted,2142.02
1,12/20/2023,,POS WD - WL *Steam Purchase     425-9522985  WAUS,9.99,,Posted,2153.91
1,12/20/2023,,POS WD - Roku for WarnerMedia Gl816-2728107  DEUS,9.99,,Posted,2163.9
1,12/20/2023,,External WD - FARMERS INS  - EFT PYMT,17.21,,Posted,2173.89
1,12/20/2023,,External DP - VENMO  - CASHOUT,,66.76,Posted,2191.1
1,12/20/2023,,External DP - ASSIST-2-SELL IN WRS667 02761ASSIS001 - Payroll,,1554.85,Posted,2124.34
1,12/19/2023,,External DP - GreaterNevada  - E-DEPOSIT,,500,Posted,569.49
1,12/19/2023,,IAT Withdrawal - IAT PAYPAL  1031316479812  CREATIVE FABRICA BV,6,,Posted,69.49
1,12/19/2023,,IAT Withdrawal - IAT PAYPAL  1031316325449  DESIGN BUNDLES LTD,5,,Posted,75.49
1,12/18/2023,,POS WD - Amazon Prime*9M37O2Y23 Amzn.com/billWAUS,14.99,,Posted,80.49
1,12/18/2023,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,30,,Posted,95.48
1,12/18/2023,,Deposit - Internet Transfer from XXXXX0643 -  via Mobile,,30,Posted,125.48
1,12/17/2023,,POS WD - APPLE.COM/BILL         866-712-7753 CAUS,2.99,,Posted,95.48
1,12/17/2023,,POS WD - JACK IN THE BOX 7310   RENO         NVUS,24.56,,Posted,98.47
1,12/17/2023,,POS WD - TST* COSTA VIDA- RENO  RENO         NVUS,16.76,,Posted,123.03
1,12/16/2023,,POS WD - SAVE MART #554 RENO NV 4995 KIETZKE LANE      RENO         N,6.99,,Posted,139.79
1,12/16/2023,,POS WD - WINCO FOODS #12 9750 SOReno         NVUS,67.26,,Posted,146.78
1,12/16/2023,,ATM Deposit - GREATER NEVADA CU 6745 SIERRA CENTER PKWYRENO         NVUS,,65,Posted,214.04
1,12/16/2023,,POS WD - TRADER JOE S #08 TRADERRENO         NVUS,16.78,,Posted,149.04
1,12/16/2023,,POS WD - MICHAELS #9490         800-642-4235 TXUS,11.44,,Posted,165.82
1,12/16/2023,,POS WD - Amazon.com*AE6BS5IV3   Amzn.com/billWAUS,72.06,,Posted,177.26
1,12/15/2023,,POS WD - VSP 800-785-0699       800-785-0699 TXUS,13.84,,Posted,249.32
1,12/15/2023,,"POS WD - WORLDPANTRY.COM, INC.  415-4010080  CAUS",114.38,,Posted,263.16
1,12/14/2023,,POS WD - Spotify USA            877-7781161  NYUS,10.99,,Posted,377.54
1,12/14/2023,,POS WD - Subway 10118           177-58297330 NVUS,14.59,,Posted,388.53
1,12/14/2023,,NOW Deposit - Zelle From GREGORY PAYNE +1-800-421-6674,,57.19,Posted,403.12
1,12/14/2023,,POS WD - RAISING CANES 0432     RENO         NVUS,12.97,,Posted,345.93
1,12/14/2023,,POS WD - GALAXY THEATRE LEGENDS SPARKS       NVUS,27.5,,Posted,358.9
1,12/14/2023,,External WD - DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,223.29,,Posted,386.4
1,12/12/2023,,POS WD - COSTCO GAS #0025       RENO         NVUS,46.38,,Posted,609.69
1,12/12/2023,,POS WD - APPLE.COM/BILL         866-712-7753 CAUS,4.99,,Posted,656.07
1,12/11/2023,,POS WD - STARBUCKS 800-782-7282 800-782-7282 WAUS,10,,Posted,661.06
1,12/11/2023,,POS WD - STARBUCKS 800-782-7282 800-782-7282 WAUS,15,,Posted,671.06
1,12/11/2023,,POS WD - TST* HAPPY TIERS CAFE  Incline VillaNVUS,5.35,,Posted,686.06
1,12/10/2023,,POS WD - SQ *?HIGH SIERRA GARDENIncline VillaNVUS,31.4,,Posted,691.41
1,12/10/2023,,POS WD - 7-ELEVEN 6150 S. Mccarran B US  Reno         NVUS,6.07,,Posted,722.81
1,12/10/2023,,POS WD - IN-N-OUT RENO 2        RENO         NVUS,16.73,,Posted,728.88
1,12/10/2023,,POS WD - VENMO*                 Visa Direct  NYUS,44.92,,Posted,745.61
1,12/10/2023,,POS WD - TAHOE FAMILY SOLUTIONS 797 SOUTHWOOD BLVD STE1INCLINE VILLAN,7,,Posted,790.53
1,12/8/2023,,POS WD - DOLLARTREE 3800 KIETZKE LN STE 100RENO         NVUS,17.59,,Posted,797.53
1,12/8/2023,,POS WD - SAVERS - 1 3800-250 SOUTH KIETUS  RENO         NVUS,9.19,,Posted,815.12
1,12/7/2023,,POS WD - WWW COSTCO COM         800-955-2292 WAUS,60,,Posted,824.31
1,12/7/2023,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,3.61,,Posted,884.31
1,12/7/2023,,Point Of Sale Deposit - VENMO*Fisher Maya      New York CityNYUS,,29.48,Posted,887.92
1,12/6/2023,,POS WD - CHEWY.COM              800-672-4399 FLUS,30.83,,Posted,858.44
1,12/6/2023,,POS WD - VENMO*                 Visa Direct  NYUS,25,,Posted,889.27
1,12/6/2023,,POS WD - IN-N-OUT RENO          RENO         NVUS,8.39,,Posted,914.27
1,12/6/2023,,POS WD - Amazon.com*6R1ZO8GK3   Amzn.com/billWAUS,11.95,,Posted,922.66
1,12/6/2023,,POS WD - AMZN Mktp US*9H4JC6KG3 Amzn.com/billWAUS,15.63,,Posted,934.61
1,12/6/2023,,External WD - DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,209.35,,Posted,950.24
1,12/6/2023,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,133.33,,Posted,1159.59
1,12/6/2023,,External WD - FID BKG SVC LLC  - MONEYLINE,10,,Posted,1292.92
1,12/6/2023,,POS WD - AMZN Mktp US*U07LJ6373 Amzn.com/billWAUS,12.44,,Posted,1302.92
1,12/6/2023,,POS WD - DENTAL INSURANCE AUTOPA877-2804204  CAUS,31.3,,Posted,1315.36
1,12/6/2023,,POS WD - EQT* AETNA CVS HEALTH  844-3657373  CTUS,87.43,,Posted,1346.66
1,12/5/2023,,POS WD - Wal-Mart Super Center 2189 WAL-SAMS          RENO         NV,71.71,,Posted,1434.09
1,12/5/2023,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,9.9,,Posted,1505.8
1,12/5/2023,,Withdrawal - Internet Transfer to XXXXX0643 -  via Mobile,1.85,,Posted,1515.7
1,12/5/2023,,POS WD - ANTHEM BLUE INDIVIDUAL 844-507-8474 INUS,41.93,,Posted,1517.55
1,12/5/2023,,External DP - ASSIST-2-SELL IN WRS667 02761ASSIS001 - Payroll,,1554.86,Posted,1559.48
1,12/4/2023,,External WD - GEICO  - PREM COLL,96,,Posted,4.62
1,12/4/2023,,POS WD - METLIFE PET            HTTPSWWW.PETFINUS,35.66,,Posted,100.62
1,12/1/2023,,POS WD - SP REMI                HTTPSREMICLUBCAUS,63.87,,Posted,136.28
1,11/30/2023,,Descriptive Deposit - Cash Back Reward,,10,Posted,200.15
1,11/28/2023,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,7.37,,Posted,190.15
1,11/28/2023,,POS WD - STEAMGAMES.COM 42595229425-8899642  WAUS,27.52,,Posted,197.52
1,11/28/2023,,External DP - VENMO  - CASHOUT,,6,Posted,225.04
1,11/27/2023,,POS WD - Etsy.com - PlantVers   844-6593879  NYUS,4.05,,Posted,219.04
1,11/27/2023,,POS WD - VENMO*                 Visa Direct  NYUS,965.86,,Posted,223.09
1,11/25/2023,,POS WD - VZWRLSS*APOCC VISW     800-922-0204 FLUS,117.01,,Posted,1188.95
1,11/24/2023,,POS WD - SAVERS - 1 3800-250 SOUTH KIETUS  RENO         NVUS,21.07,,Posted,1305.96
1,11/24/2023,,POS WD - TARGET T-1363 6845 Sierra Center PkwyReno         NVUS,5.19,,Posted,1327.03
1,11/24/2023,,External WD - NV ENERGY NORTH SPPCO - SPPC PYMT,106.32,,Posted,1332.22
1,11/24/2023,,POS WD - ROUND1 AM - RNO NV RENORENO         NVUS,11,,Posted,1438.54
1,11/21/2023,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,133.33,,Posted,1449.54
1,11/21/2023,,External DP - VENMO  - CASHOUT,,53.16,Posted,1582.87
1,11/21/2023,,POS WD - APPLE.COM/BILL         866-712-7753 CAUS,21.98,,Posted,1529.71
1,11/20/2023,,POS WD - Roku for WarnerMedia Gl816-2728107  DEUS,9.99,,Posted,1551.69
1,11/20/2023,,External WD - FARMERS INS  - EFT PYMT,17.21,,Posted,1561.68
1,11/20/2023,,External DP - ASSIST-2-SELL IN WRS667 02761ASSIS001 - Payroll,,1554.84,Posted,1578.89
1,11/20/2023,,POS WD - MICHAELS #9490         800-642-4235 TXUS,41.87,,Posted,24.05
1,11/19/2023,,Point Of Sale Deposit - AMZN Mktp US           Amzn.com/billWAUS,,10.82,Posted,65.92
1,11/19/2023,,POS WD - TST* THE URBAN DELI    Reno         NVUS,38.71,,Posted,55.1
1,11/18/2023,,POS WD - Amazon Prime*MA18C95M3 Amzn.com/billWAUS,14.99,,Posted,93.81
1,11/18/2023,,POS WD - DOLLAR TREE 9760 S VIRGINIA ST     RENO         NVUS,3.96,,Posted,108.8
1,11/18/2023,,POS WD - WINCO FOODS #12 9750 SOReno         NVUS,57.56,,Posted,112.76
1,11/18/2023,,POS WD - WHOLEFDS RNO 102 6139 SRENO         NVUS,12.99,,Posted,170.32
1,11/18/2023,,POS WD - MICHAELS S 4871 KIETZKE LN    US  RENO         NVUS,8.29,,Posted,183.31
1,11/18/2023,,POS WD - APPLE.COM/BILL         866-712-7753 CAUS,2.99,,Posted,191.6
1,11/17/2023,,POS WD - SAVE MART #554 RENO NV 4995 KIETZKE LANE      RENO         N,5.97,,Posted,194.59
1,11/16/2023,,"External DP - FISHER,MAYA PERSONAL SAVINGS - TRANSFER",,100,Posted,200.56
1,11/15/2023,,POS WD - VSP 800-785-0699       800-785-0699 TXUS,13.84,,Posted,100.56
1,11/14/2023,,POS WD - SPOTIFY                877-778-1161 NYUS,10.99,,Posted,114.4
1,11/14/2023,,POS WD - COSTCO GAS #0025       RENO         NVUS,51.42,,Posted,125.39
1,11/13/2023,,POS WD - AMZN Mktp US*UH9FX6UZ3 Amzn.com/billWAUS,10.82,,Posted,176.81
1,11/13/2023,,External WD - PAYPAL INSTANT TRANSFER - INST XFER,0.8,,Posted,187.63
1,11/11/2023,,POS WD - APPLE.COM/BILL         866-712-7753 CAUS,4.99,,Posted,188.43
1,11/9/2023,,POS WD - STARBUCKS 800-782-7282 800-782-7282 WAUS,10,,Posted,193.42
1,11/8/2023,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,100,,Posted,203.42
1,11/7/2023,,POS WD - CAT PERSON             855-918-2287 NYUS,55.56,,Posted,303.42
1,11/7/2023,,External DP - VENMO  - CASHOUT,,20.5,Posted,358.98
1,11/7/2023,,POS WD - CHIPOTLE 2146          RENO         NVUS,21.6,,Posted,338.48
1,11/7/2023,,POS WD - MICHAELS #9490         800-642-4235 TXUS,5.4,,Posted,360.08
1,11/6/2023,,POS WD - SURF THRU RENO 1       RENO         NVUS,20,,Posted,365.48
1,11/6/2023,,Deposit - Internet Transfer from XXXXX0643 -  via Mobile,,35.99,Posted,385.48
1,11/6/2023,,POS WD - DD DOORDASH HINOKIPOK  855-973-1040 CAUS,26.19,,Posted,349.49
1,11/6/2023,,POS WD - VENMO*                 Visa Direct  NYUS,24.98,,Posted,375.68
1,11/6/2023,,External WD - DISCOVER DC PYMNTS DCIINTNET - E-PAYMENT,350,,Posted,400.66
1,11/6/2023,,External WD - ADVS ED SERV WEB ACH TRANSACTION - STUDNTLOAN,150,,Posted,750.66
1,11/6/2023,,External WD - AMERICANEXPRESS PERSONAL SAVINGS - TRANSFER,133.34,,Posted,900.66
