"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/14/2024","7-ELEVEN 33090 RENO NV","7-ELEVEN 33090 RENO NV","44.55","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"2/14/2024","WALMART STORE 02189 RENO NV","WALMART STORE 02189 RENO NV","20.61","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/14/2024","DD DOORDASH GOLDENFLO 855-973-1040 CA","DD DOORDASH GOLDENFLO 855-973-1040 CA","43.98","debit","Food Delivery","DISCOVER IT CHROME CARD","",""
"2/13/2024","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","270.20","debit","Veterinary","DISCOVER IT CHROME CARD","",""
"2/12/2024","AMZN MKTP US*RI0WA6O22 AMZN.COM/BILLWA
4KXXIJ97LQM","AMZN MKTP US*RI0WA6O22 AMZN.COM/BILLWA
4KXXIJ97LQM","33.53","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/12/2024","IN-N-OUT RENO 2 RENO NV
01294P","IN-N-OUT RENO 2 RENO NV
01294P","10.34","debit","Hotel","DISCOVER IT CHROME CARD","",""
"2/12/2024","AMZN MKTP US*RI9HB90Q0 AMZN.COM/BILLWA
6AI3AW0JTLA","AMZN MKTP US*RI9HB90Q0 AMZN.COM/BILLWA
6AI3AW0JTLA","38.95","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/12/2024","AMAZON PRIME*RB1IP5WN2 AMZN.COM/BILLWA
20SWZHH7W8G","AMAZON PRIME*RB1IP5WN2 AMZN.COM/BILLWA
20SWZHH7W8G","0.99","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/12/2024","AMZN MKTP US*RB94P9591 AMZN.COM/BILLWA
6O0ZNGPT2LS","AMZN MKTP US*RB94P9591 AMZN.COM/BILLWA
6O0ZNGPT2LS","36.41","debit","Shopping","DISCOVER IT CHROME CARD","",""
"2/11/2024","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","14.36","debit","Groceries","DISCOVER IT CHROME CARD","",""
"2/11/2024","ARMANDO & SONS BUTCHER RENO NV","ARMANDO & SONS BUTCHER RENO NV","102.57","debit","Groceries","DISCOVER IT CHROME CARD","",""
"2/05/2024","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","175.00","credit","Hide from Budgets & Trends","DISCOVER IT CHROME CARD","",""
"2/04/2024","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","38.06","debit","Groceries","DISCOVER IT CHROME CARD","",""
"2/02/2024","WALMART SC 02189 RENO (S) NV","WALMART SC 02189 RENO (S) NV","20.14","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/31/2024","DD DOORDASH EGGROLLKI 855-973-1040 CA","DD DOORDASH EGGROLLKI 855-973-1040 CA","27.32","debit","Food Delivery","DISCOVER IT CHROME CARD","",""
"1/30/2024","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","147.90","debit","Veterinary","DISCOVER IT CHROME CARD","",""
"1/29/2024","SUBWAY 10118 RENO NV","SUBWAY 10118 RENO NV","8.86","debit","Fast Food","DISCOVER IT CHROME CARD","",""
"1/29/2024","AMZN MKTP US*R01VA55I1 AMZN.COM/BILLWA
2RH5HZ5VTUS","AMZN MKTP US*R01VA55I1 AMZN.COM/BILLWA
2RH5HZ5VTUS","39.60","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/27/2024","CHEWY.COM 800-672-4399 FL
PMT-Z78SQB9SCY","CHEWY.COM 800-672-4399 FL
PMT-Z78SQB9SCY","77.25","debit","Pet Food & Supplies","DISCOVER IT CHROME CARD","",""
"1/26/2024","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","21.39","debit","Groceries","DISCOVER IT CHROME CARD","",""
"1/25/2024","AMZN MKTP US*R00ZI03D2 AMZN.COM/BILLWA
2DZKV5H6CWW","AMZN MKTP US*R00ZI03D2 AMZN.COM/BILLWA
2DZKV5H6CWW","32.62","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/23/2024","AMZN MKTP US*R05SG2XE0 AMZN.COM/BILLWA
NXR7ZU7W6IF","AMZN MKTP US*R05SG2XE0 AMZN.COM/BILLWA
NXR7ZU7W6IF","20.56","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/23/2024","AMZN MKTP US*R01S82VE0 AMZN.COM/BILLWA
KCK7DAOQS4Y","AMZN MKTP US*R01S82VE0 AMZN.COM/BILLWA
KCK7DAOQS4Y","85.80","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/19/2024","RAISING CANES 0432 RENO NV
01963P","RAISING CANES 0432 RENO NV
01963P","19.42","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"1/19/2024","RAISING CANES 0432 RENO NV
01945P","RAISING CANES 0432 RENO NV
01945P","11.05","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"1/19/2024","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","12.68","credit","Bonus","DISCOVER IT CHROME CARD","",""
"1/19/2024","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","119.00","credit","Hide from Budgets & Trends","DISCOVER IT CHROME CARD","",""
"1/17/2024","AMAZON.COM*R83PO94D2 AMZN.COM/BILLWA
3ZKDXTLJNVJ","AMAZON.COM*R83PO94D2 AMZN.COM/BILLWA
3ZKDXTLJNVJ","61.49","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/16/2024","INTEREST CHARGE ON PURCHASES","INTEREST CHARGE ON PURCHASES","217.73","debit","Finance Charge","DISCOVER IT CHROME CARD","",""
"1/11/2024","AMZN MKTP US*TK3NK6WH1 AMZN.COM/BILLWA
4HB8UXAUF84","AMZN MKTP US*TK3NK6WH1 AMZN.COM/BILLWA
4HB8UXAUF84","16.23","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/08/2024","PAYMENT","PAYMENT","20.00","credit","Loan Payment","Direct Loan - Subsidized","",""
"1/08/2024","PAYMENT","PAYMENT","20.00","credit","Loan Payment","Direct Loan - Subsidized","",""
"1/08/2024","PAYMENT","PAYMENT","110.00","credit","Loan Payment","Direct Loan - Subsidized","",""
"1/07/2024","AMZN MKTP US*RT9FC5380 AMZN.COM/BILLWA
4EF2LV7ZP02","AMZN MKTP US*RT9FC5380 AMZN.COM/BILLWA
4EF2LV7ZP02","32.47","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/07/2024","AMZN MKTP US*TK8DT9XT1 AMZN.COM/BILLWA
ZWWISCCGKSO","AMZN MKTP US*TK8DT9XT1 AMZN.COM/BILLWA
ZWWISCCGKSO","67.07","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/05/2024","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","231.00","credit","Hide from Budgets & Trends","DISCOVER IT CHROME CARD","",""
"1/02/2024","SUBWAY 3157 RENO NV","SUBWAY 3157 RENO NV","13.19","debit","Fast Food","DISCOVER IT CHROME CARD","",""
"1/02/2024","WALMART STORE 02189 RENO NV","WALMART STORE 02189 RENO NV","20.08","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/02/2024","AMZN MKTP US*AX3XK4S03 AMZN.COM/BILLWA
62BDM1AGWJU","AMZN MKTP US*AX3XK4S03 AMZN.COM/BILLWA
62BDM1AGWJU","17.31","debit","Shopping","DISCOVER IT CHROME CARD","",""
"1/02/2024","AMZN MKTP US*TK8MU3EZ0 AMZN.COM/BILLWA
5ECHK0V7I8M","AMZN MKTP US*TK8MU3EZ0 AMZN.COM/BILLWA
5ECHK0V7I8M","34.96","debit","Shopping","DISCOVER IT CHROME CARD","",""
"12/31/2023","TARGET XXXXXXX1091 RENO NV","TARGET XXXXXXX1091 RENO NV","35.31","debit","Shopping","DISCOVER IT CHROME CARD","",""
"12/31/2023","Descriptive Deposit - Cash Back","Descriptive Deposit - Cash Back","10.00","credit","Transfer","Cash Back Student Checking","",""
"12/31/2023","POS WD - STEAMGAMES.COM 42595229","POS WD - STEAMGAMES.COM 42595229","7.99","debit","Entertainment","Cash Back Student Checking","",""
"12/30/2023","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","4.50","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/30/2023","SMITHS-FOOD #4378 RENO NV","SMITHS-FOOD #4378 RENO NV","281.79","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/29/2023","POS WD - Wal-Mart Super Center 2","POS WD - Wal-Mart Super Center 2","19.07","debit","Shopping","Cash Back Student Checking","",""
"12/29/2023","POS WD - BARNES&NOBLE PAPERSOURC","POS WD - BARNES&NOBLE PAPERSOURC","39.99","debit","Books","Cash Back Student Checking","",""
"12/29/2023","POS WD - GREAT BASIN BREWING COM","POS WD - GREAT BASIN BREWING COM","108.91","debit","Restaurants","Cash Back Student Checking","",""
"12/28/2023","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","VCA ANIMAL HOSP #953 RENO NV
AU953CLT14643","322.05","debit","Veterinary","DISCOVER IT CHROME CARD","",""
"12/28/2023","BARNES & NOBLE #2938 RENO NV","BARNES & NOBLE #2938 RENO NV","144.27","debit","Books","DISCOVER IT CHROME CARD","",""
"12/28/2023","NOW Deposit - Zelle From GREGORY","NOW Deposit - Zelle From GREGORY","60.00","credit","Transfer","Cash Back Student Checking","",""
"12/28/2023","POS WD - GREAT BASIN BREWING COM","POS WD - GREAT BASIN BREWING COM","50.00","debit","Alcohol & Bars","Cash Back Student Checking","",""
"12/28/2023","POS WD - TikTok Shop","POS WD - TikTok Shop","30.56","debit","Groceries","Cash Back Student Checking","",""
"12/28/2023","POS WD - AMZN Mktp US*HA6JW0223","POS WD - AMZN Mktp US*HA6JW0223","106.65","debit","Shopping","Cash Back Student Checking","",""
"12/28/2023","POS WD - AMZN Mktp US*5K0CQ4J33","POS WD - AMZN Mktp US*5K0CQ4J33","10.79","debit","Shopping","Cash Back Student Checking","",""
"12/27/2023","POS WD - SAVE MART #554 RENO NV","POS WD - SAVE MART #554 RENO NV","9.48","debit","Groceries","Cash Back Student Checking","",""
"12/27/2023","POS WD - WM SUPERCENTER #2189 Wa","POS WD - WM SUPERCENTER #2189 Wa","4.40","debit","Shopping","Cash Back Student Checking","",""
"12/27/2023","POS WD - WL *Steam Purchase","POS WD - WL *Steam Purchase","50.00","debit","Entertainment","Cash Back Student Checking","",""
"12/27/2023","POS WD - WL *Steam Purchase","POS WD - WL *Steam Purchase","32.95","debit","Entertainment","Cash Back Student Checking","",""
"12/26/2023","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","68.82","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/26/2023","DD DOORDASH GOLDENFLO 855-973-1040 CA","DD DOORDASH GOLDENFLO 855-973-1040 CA","24.44","debit","Food Delivery","DISCOVER IT CHROME CARD","",""
"12/26/2023","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","16.08","credit","Bonus","DISCOVER IT CHROME CARD","",""
"12/26/2023","POS WD - AMZN Mktp US*6Z3CW5B93","POS WD - AMZN Mktp US*6Z3CW5B93","14.14","debit","Shopping","Cash Back Student Checking","",""
"12/26/2023","POS WD - VENMO*","POS WD - VENMO*","965.68","debit","Mortgage & Rent","Cash Back Student Checking","",""
"12/25/2023","POS WD - STEAMGAMES.COM 42595229","POS WD - STEAMGAMES.COM 42595229","17.98","debit","Entertainment","Cash Back Student Checking","",""
"12/25/2023","POS WD - VZWRLSS*APOCC VISW","POS WD - VZWRLSS*APOCC VISW","117.24","debit","Mobile Phone","Cash Back Student Checking","",""
"12/24/2023","IC* INSTACART XXXXXX7822 CA","IC* INSTACART XXXXXX7822 CA","36.63","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/23/2023","POS WD - TST* COSTA VIDA- RENO","POS WD - TST* COSTA VIDA- RENO","40.48","debit","Restaurants","Cash Back Student Checking","",""
"12/22/2023","POS WD - ELLEN B. MCBRIDE, A PRO","POS WD - ELLEN B. MCBRIDE, A PRO","100.00","debit","Doctor","Cash Back Student Checking","",""
"12/22/2023","POS WD - LOWE'S #32 5075 KIETZKE","POS WD - LOWE'S #32 5075 KIETZKE","8.64","debit","Home Improvement","Cash Back Student Checking","",""
"12/22/2023","External WD - NV ENERGY NORTH SP","External WD - NV ENERGY NORTH SP","133.52","debit","Utilities","Cash Back Student Checking","",""
"12/21/2023","External DP - GreaterNevada  - E","External DP - GreaterNevada  - E","50.00","credit","Transfer","Cash Back Student Checking","",""
"12/21/2023","POS WD - CHEWY.COM","POS WD - CHEWY.COM","7.40","debit","Pet Food & Supplies","Cash Back Student Checking","",""
"12/21/2023","POS WD - APPLE.COM/BILL","POS WD - APPLE.COM/BILL","11.99","debit","Electronics & Software","Cash Back Student Checking","",""
"12/21/2023","American Express","External WD - AMERICANEXPRESS PE","133.34","debit","Savings","Cash Back Student Checking","",""
"12/21/2023","ATM Deposit - GREATER NEVADA CU","ATM Deposit - GREATER NEVADA CU","100.00","credit","Transfer","Cash Back Student Checking","",""
"12/20/2023","POS WD - CHEWY.COM","POS WD - CHEWY.COM","113.32","debit","Pet Food & Supplies","Cash Back Student Checking","",""
"12/20/2023","External DP - ASSIST-2-SELL IN W","External DP - ASSIST-2-SELL IN W","1554.85","credit","Income","Cash Back Student Checking","",""
"12/20/2023","External DP - VENMO  - CASHOUT","External DP - VENMO  - CASHOUT","66.76","credit","Transfer","Cash Back Student Checking","",""
"12/20/2023","POS WD - TARGET T-1363 6845 Sier","POS WD - TARGET T-1363 6845 Sier","11.89","debit","Shopping","Cash Back Student Checking","",""
"12/20/2023","POS WD - TARGET T-1363 6845 Sier","POS WD - TARGET T-1363 6845 Sier","83.69","debit","Shopping","Cash Back Student Checking","",""
"12/20/2023","POS WD - Roku for WarnerMedia Gl","POS WD - Roku for WarnerMedia Gl","9.99","debit","Entertainment","Cash Back Student Checking","",""
"12/20/2023","POS WD - WL *Steam Purchase","POS WD - WL *Steam Purchase","9.99","debit","Entertainment","Cash Back Student Checking","",""
"12/20/2023","External WD - FARMERS INS  - EFT","External WD - FARMERS INS  - EFT","17.21","debit","Life Insurance","Cash Back Student Checking","",""
"12/19/2023","TST* HINOKI POKE RENO NV
XXXXXXXXXXXX95778717AA","TST* HINOKI POKE RENO NV
XXXXXXXXXXXX95778717AA","16.99","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"12/19/2023","TRADER JOE S #082 RENO NV","TRADER JOE S #082 RENO NV","42.28","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/19/2023","IAT Withdrawal - IAT PAYPAL  103","IAT Withdrawal - IAT PAYPAL  103","6.00","debit","Shopping","Cash Back Student Checking","",""
"12/19/2023","External DP - GreaterNevada  - E","External DP - GreaterNevada  - E","500.00","credit","Transfer","Cash Back Student Checking","",""
"12/19/2023","IAT Withdrawal - IAT PAYPAL  103","IAT Withdrawal - IAT PAYPAL  103","5.00","debit","Shopping","Cash Back Student Checking","",""
"12/18/2023","RAISING CANES 0432 RENO NV
01824P","RAISING CANES 0432 RENO NV
01824P","17.96","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"12/18/2023","Withdrawal - Internet Transfer t","Withdrawal - Internet Transfer t","30.00","debit","Credit Card Payment","Regular Share","",""
"12/18/2023","Deposit - Internet Transfer from","Deposit - Internet Transfer from","30.00","credit","Transfer","Regular Share","",""
"12/18/2023","POS WD - Amazon Prime*9M37O2Y23","POS WD - Amazon Prime*9M37O2Y23","14.99","debit","Shopping","Cash Back Student Checking","",""
"12/18/2023","Deposit - Internet Transfer from","Deposit - Internet Transfer from","30.00","credit","Transfer","Cash Back Student Checking","",""
"12/18/2023","Withdrawal - Internet Transfer t","Withdrawal - Internet Transfer t","30.00","debit","Credit Card Payment","Cash Back Student Checking","",""
"12/17/2023","POS WD - JACK IN THE BOX 7310","POS WD - JACK IN THE BOX 7310","24.56","debit","Fast Food","Cash Back Student Checking","",""
"12/17/2023","POS WD - APPLE.COM/BILL","POS WD - APPLE.COM/BILL","2.99","debit","Electronics & Software","Cash Back Student Checking","",""
"12/17/2023","POS WD - TST* COSTA VIDA- RENO","POS WD - TST* COSTA VIDA- RENO","16.76","debit","Restaurants","Cash Back Student Checking","",""
"12/16/2023","INTEREST CHARGE ON PURCHASES","INTEREST CHARGE ON PURCHASES","192.77","debit","Finance Charge","DISCOVER IT CHROME CARD","",""
"12/16/2023","POS WD - SAVE MART #554 RENO NV","POS WD - SAVE MART #554 RENO NV","6.99","debit","Groceries","Cash Back Student Checking","",""
"12/16/2023","POS WD - WINCO FOODS #12 9750 SO","POS WD - WINCO FOODS #12 9750 SO","67.26","debit","Groceries","Cash Back Student Checking","",""
"12/16/2023","ATM Deposit - GREATER NEVADA CU","ATM Deposit - GREATER NEVADA CU","65.00","credit","Transfer","Cash Back Student Checking","",""
"12/16/2023","POS WD - TRADER JOE S #08 TRADER","POS WD - TRADER JOE S #08 TRADER","16.78","debit","Groceries","Cash Back Student Checking","",""
"12/16/2023","POS WD - MICHAELS #9490","POS WD - MICHAELS #9490","11.44","debit","Hobbies","Cash Back Student Checking","",""
"12/16/2023","POS WD - Amazon.com*AE6BS5IV3","POS WD - Amazon.com*AE6BS5IV3","72.06","debit","Shopping","Cash Back Student Checking","",""
"12/15/2023","POS WD - VSP 800-785-0699","POS WD - VSP 800-785-0699","13.84","debit","Eyecare","Cash Back Student Checking","",""
"12/15/2023","POS WD - WORLDPANTRY.COM, INC.","POS WD - WORLDPANTRY.COM, INC.","114.38","debit","Groceries","Cash Back Student Checking","",""
"12/14/2023","POS WD - RAISING CANES 0432","POS WD - RAISING CANES 0432","12.97","debit","Restaurants","Cash Back Student Checking","",""
"12/14/2023","POS WD - GALAXY THEATRE LEGENDS","POS WD - GALAXY THEATRE LEGENDS","27.50","debit","Movies & DVDs","Cash Back Student Checking","",""
"12/14/2023","External WD - DISCOVER DC PYMNTS","External WD - DISCOVER DC PYMNTS","223.29","debit","Credit Card Payment","Cash Back Student Checking","",""
"12/14/2023","POS WD - Spotify USA","POS WD - Spotify USA","10.99","debit","Music","Cash Back Student Checking","",""
"12/14/2023","POS WD - Subway 10118","POS WD - Subway 10118","14.59","debit","Fast Food","Cash Back Student Checking","",""
"12/14/2023","NOW Deposit - Zelle From GREGORY","NOW Deposit - Zelle From GREGORY","57.19","credit","Transfer","Cash Back Student Checking","",""
"12/13/2023","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","223.29","credit","Hide from Budgets & Trends","DISCOVER IT CHROME CARD","",""
"12/12/2023","POS WD - COSTCO GAS #0025","POS WD - COSTCO GAS #0025","46.38","debit","Gas & Fuel","Cash Back Student Checking","",""
"12/12/2023","POS WD - APPLE.COM/BILL","POS WD - APPLE.COM/BILL","4.99","debit","Electronics & Software","Cash Back Student Checking","",""
"12/11/2023","Starbucks","POS WD - STARBUCKS 800-782-7282","10.00","debit","Restaurants","Cash Back Student Checking","",""
"12/11/2023","Starbucks","POS WD - STARBUCKS 800-782-7282","15.00","debit","Restaurants","Cash Back Student Checking","",""
"12/11/2023","POS WD - TST* HAPPY TIERS CAFE","POS WD - TST* HAPPY TIERS CAFE","5.35","debit","Restaurants","Cash Back Student Checking","",""
"12/10/2023","POS WD - SQ *?HIGH SIERRA GARDEN","POS WD - SQ *?HIGH SIERRA GARDEN","31.40","debit","Lawn & Garden","Cash Back Student Checking","",""
"12/10/2023","POS WD - 7-ELEVEN 6150 S. Mccarr","POS WD - 7-ELEVEN 6150 S. Mccarr","6.07","debit","Fast Food","Cash Back Student Checking","",""
"12/10/2023","POS WD - IN-N-OUT RENO 2","POS WD - IN-N-OUT RENO 2","16.73","debit","Hotel","Cash Back Student Checking","",""
"12/10/2023","POS WD - VENMO*","POS WD - VENMO*","44.92","debit","Groceries","Cash Back Student Checking","",""
"12/10/2023","POS WD - TAHOE FAMILY SOLUTIONS","POS WD - TAHOE FAMILY SOLUTIONS","7.00","debit","Health & Fitness","Cash Back Student Checking","",""
"12/09/2023","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","23.96","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/08/2023","ROSS STORE #368 RENO NV","ROSS STORE #368 RENO NV","32.42","debit","Clothing","DISCOVER IT CHROME CARD","",""
"12/08/2023","SAVEMART #554 RENO S9H RENO NV","SAVEMART #554 RENO S9H RENO NV","28.50","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/08/2023","POS WD - DOLLARTREE 3800 KIETZKE","POS WD - DOLLARTREE 3800 KIETZKE","17.59","debit","Shopping","Cash Back Student Checking","",""
"12/08/2023","POS WD - SAVERS - 1 3800-250 SOU","POS WD - SAVERS - 1 3800-250 SOU","9.19","debit","Groceries","Cash Back Student Checking","",""
"12/07/2023","TARGET XXXXXXX1091 RENO NV","TARGET XXXXXXX1091 RENO NV","49.64","debit","Shopping","DISCOVER IT CHROME CARD","",""
"12/07/2023","POS WD - WWW COSTCO COM","POS WD - WWW COSTCO COM","60.00","debit","Shopping","Cash Back Student Checking","",""
"12/07/2023","POS WD - TARGET T-1363 6845 Sier","POS WD - TARGET T-1363 6845 Sier","3.61","debit","Shopping","Cash Back Student Checking","",""
"12/07/2023","Point Of Sale Deposit - VENMO*Fi","Point Of Sale Deposit - VENMO*Fi","29.48","credit","Transfer","Cash Back Student Checking","",""
"12/06/2023","SMITHS-FOOD #4378 RENO NV","SMITHS-FOOD #4378 RENO NV","84.20","debit","Groceries","DISCOVER IT CHROME CARD","",""
"12/06/2023","POS WD - AMZN Mktp US*9H4JC6KG3","POS WD - AMZN Mktp US*9H4JC6KG3","15.63","debit","Shopping","Cash Back Student Checking","",""
"12/06/2023","External WD - DISCOVER DC PYMNTS","External WD - DISCOVER DC PYMNTS","209.35","debit","Credit Card Payment","Cash Back Student Checking","",""
"12/06/2023","American Express","External WD - AMERICANEXPRESS PE","133.33","debit","Savings","Cash Back Student Checking","",""
"12/06/2023","External WD - FID BKG SVC LLC  -","External WD - FID BKG SVC LLC  -","10.00","debit","Cash & ATM","Cash Back Student Checking","",""
"12/06/2023","POS WD - AMZN Mktp US*U07LJ6373","POS WD - AMZN Mktp US*U07LJ6373","12.44","debit","Shopping","Cash Back Student Checking","",""
"12/06/2023","POS WD - DENTAL INSURANCE AUTOPA","POS WD - DENTAL INSURANCE AUTOPA","31.30","debit","Financial","Cash Back Student Checking","",""
"12/06/2023","POS WD - EQT* AETNA CVS HEALTH","POS WD - EQT* AETNA CVS HEALTH","87.43","debit","Health Insurance","Cash Back Student Checking","",""
"12/06/2023","POS WD - CHEWY.COM","POS WD - CHEWY.COM","30.83","debit","Pet Food & Supplies","Cash Back Student Checking","",""
"12/06/2023","POS WD - VENMO*","POS WD - VENMO*","25.00","debit","Groceries","Cash Back Student Checking","",""
"12/06/2023","POS WD - IN-N-OUT RENO","POS WD - IN-N-OUT RENO","8.39","debit","Hotel","Cash Back Student Checking","",""
"12/06/2023","POS WD - Amazon.com*6R1ZO8GK3","POS WD - Amazon.com*6R1ZO8GK3","11.95","debit","Shopping","Cash Back Student Checking","",""
"12/05/2023","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","209.35","credit","Hide from Budgets & Trends","DISCOVER IT CHROME CARD","",""
"12/05/2023","External DP - ASSIST-2-SELL IN W","External DP - ASSIST-2-SELL IN W","1554.86","credit","Income","Cash Back Student Checking","",""
"12/05/2023","POS WD - Wal-Mart Super Center 2","POS WD - Wal-Mart Super Center 2","71.71","debit","Shopping","Cash Back Student Checking","",""
"12/05/2023","Withdrawal - Internet Transfer t","Withdrawal - Internet Transfer t","9.90","debit","Credit Card Payment","Cash Back Student Checking","",""
"12/05/2023","Withdrawal - Internet Transfer t","Withdrawal - Internet Transfer t","1.85","debit","Credit Card Payment","Cash Back Student Checking","",""
"12/05/2023","POS WD - ANTHEM BLUE INDIVIDUAL","POS WD - ANTHEM BLUE INDIVIDUAL","41.93","debit","Doctor","Cash Back Student Checking","",""
"12/05/2023","Deposit - Internet Transfer from","Deposit - Internet Transfer from","9.90","credit","Transfer","Regular Share","",""
"12/05/2023","Deposit - Internet Transfer from","Deposit - Internet Transfer from","1.85","credit","Transfer","Regular Share","",""
"12/04/2023","External WD - GEICO  - PREM COLL","External WD - GEICO  - PREM COLL","96.00","debit","Auto Insurance","Cash Back Student Checking","",""
"12/04/2023","POS WD - METLIFE PET","POS WD - METLIFE PET","35.66","debit","Life Insurance","Cash Back Student Checking","",""
"12/03/2023","AMZN MKTP US*3R6TL4MI3 AMZN.COM/BILLWA
6HFKR7FBZ1D","AMZN MKTP US*3R6TL4MI3 AMZN.COM/BILLWA
6HFKR7FBZ1D","21.64","debit","Shopping","DISCOVER IT CHROME CARD","",""
"12/03/2023","AMZN MKTP US*YT1CF86D3 AMZN.COM/BILLWA
2UZDMMOPW4R","AMZN MKTP US*YT1CF86D3 AMZN.COM/BILLWA
2UZDMMOPW4R","101.54","debit","Shopping","DISCOVER IT CHROME CARD","",""
